Nicosia	33.39	35.17	9	3
Praha	14.46	50.11	6	9
Brno	16.62	49.2	6	9
Kobenhavn	12.55	55.72	6	7
Odense	9.9	55.57	7	4
Djibouti	43.1	11.5	7	5
SantoDomingo	-69.91	18.5	8	9
Quito	-78.52	-0.23	6	3
Guayaquil	-79.91	-2.2	7	6
Cairo	31.25	30.08	3	4
Aswan	32.95	24.08	3	3
Suez	32.56	29.96	9	4
Alexandria	29.98	31.07	3	9
El-Giza	30.85	30.47	4	6
SanSalvador	-89.2	13.7	3	7
Malabo	8.82	3.64	3	3
Asmara	38.97	15.33	6	9
Tallinn	24.75	59.28	8	8
AdisAbeba	38.7	9.03	9	9
Helsinki	24.98	60.2	3	9
Lille	3.06	50.63	8	9
Paris	2.43	48.88	6	7
Strasbourg	7.77	48.58	4	5
Nantes	-1.56	47.22	5	6
Lyon	4.86	45.75	5	7
Bordeaux	-0.6	44.84	3	5
Toulouse	1.44	43.6	9	9
LeHavre	0.22	49.32	7	4
Marseille	5.38	43.3	7	8
Cayenne	-52.4	4.92	9	3
PortGentil	9.15	-0.82	8	9
Libreville	9.49	-0.5	3	5
Banjul	-16.49	13.45	3	4
Hamburg	10.03	53.57	7	4
Bremen	8.86	53.08	9	6
Berlin	13.33	52.52	7	6
Dortmund	7.47	51.51	5	7
Duisburg	6.78	51.49	5	7
Essen	7.12	51.35	6	5
Leipzig	12.4	51.35	3	6
Dresden	13.71	51.05	3	9
Koln	6.93	50.94	4	4
Bonn	7.1	50.73	4	7
Munchen	11.54	48.14	3	4
Accra	-0.2	5.56	6	4
Patrai	21.88	38.14	6	9
Athinai	23.65	38.12	3	9
Thessaloniki	22.8	40.63	7	4
Angmagssalik	-37.31	65.67	5	8
Godhavn	-53.63	69.38	4	4
Godthab	-51.58	64.27	3	6
Scoresbyund	-23	70.53	7	8
Thule	-69	77.67	9	6
Guatemala	-90.52	14.62	6	6
Conakry	-12.8	9.52	7	3
Bissau	-15.65	11.91	3	6
Georgetown	-58.17	6.77	7	8
Tegucigalpa	-87.2	14.1	9	7
Budapest	19.09	47.51	9	5
Reykjavik	-21.34	64.31	8	3
